date,open,high,low,close,adj_close,volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,target
1975-01-02,5.71875,5.71875,5.53125,5.609375,1.291487,942400,-0.21126644825399676,-0.021480347289485863,-0.1897861009645109,32.67517928627827,"[1, 0, 0]"
1975-01-03,5.609375,5.65625,5.53125,5.53125,1.273499,712800,-0.22822919661905505,-0.030754476523635332,-0.19747472009541972,31.156473501887017,"[1, 0, 0]"
1975-01-06,5.53125,5.671875,5.484375,5.484375,1.262707,451200,-0.2426575128980133,-0.03614623424207486,-0.20651127865593844,30.248048735832786,"[1, 0, 0]"
1975-01-07,5.484375,5.53125,5.40625,5.53125,1.273499,453600,-0.24745710527727738,-0.03275666129707114,-0.21470044398020624,32.37156073098323,"[1, 0, 0]"
1975-01-08,5.53125,5.578125,5.453125,5.515625,1.269901,478400,-0.2496438844316602,-0.027954752361163154,-0.22168913207049704,32.021611558447674,"[1, 0, 0]"
1975-01-09,5.515625,5.5625,5.453125,5.5625,1.280695,392800,-0.24477291215168506,-0.018467024064950405,-0.22630588808673466,34.315693312043756,"[1, 0, 0]"
1975-01-10,5.65625,5.796875,5.65625,5.71875,1.316669,676800,-0.22570280096763984,0.0004824696952758778,-0.22618527066291572,41.413133266465024,"[1, 0, 0]"
1975-01-13,5.71875,5.90625,5.6875,5.78125,1.331058,423200,-0.20320396398905505,0.01838504533908855,-0.2215890093281436,44.01884653336219,"[1, 0, 0]"
1975-01-14,5.78125,5.875,5.75,5.8125,1.338253,675200,-0.18076807787775362,0.032656745160312,-0.21342482303806562,45.328163225060365,"[1, 0, 0]"
1975-01-15,5.8125,5.8125,5.71875,5.8125,1.338253,258400,-0.16113006935319873,0.04183580294789352,-0.20296587230109225,45.328163225060365,"[1, 0, 0]"
1975-01-16,5.8125,5.84375,5.78125,5.8125,1.338253,421600,-0.14390792513192974,0.047246357735330036,-0.19115428286725977,45.32816322506036,"[1, 0, 0]"
1975-01-17,5.8125,5.875,5.75,5.75,1.323862,596000,-0.13376057082601278,0.045914969632997626,-0.1796755404590104,42.826115488136516,"[1, 0, 0]"
1975-01-20,5.75,5.796875,5.6875,5.796875,1.334655,209600,-0.1205467112321914,0.04730306338145521,-0.1678497746136466,45.26632989777403,"[1, 0, 0]"
1975-01-21,5.796875,5.90625,5.6875,5.6875,1.309474,280000,-0.1175452917643014,0.04024358627947616,-0.15778887804377756,40.8818115857276,"[1, 0, 0]"
1975-01-22,5.6875,5.734375,5.6875,5.71875,1.316669,243200,-0.11136132731778492,0.03714204058079412,-0.14850336789857904,42.59273320205447,"[1, 0, 0]"
1975-01-23,5.71875,5.71875,5.53125,5.546875,1.277097,340000,-0.11895809218370168,0.0236362205719019,-0.14259431275560358,36.359979092457394,"[1, 0, 0]"
1975-01-24,5.546875,5.546875,5.375,5.421875,1.248317,789600,-0.1335258356862452,0.007254781655486708,-0.14078061734173192,32.62122628714564,"[1, 0, 0]"
1975-01-27,5.46875,5.71875,5.46875,5.71875,1.316669,1576800,-0.11973531181289498,0.016836244423069552,-0.13657155623596454,46.65169167962731,"[1, 0, 0]"
1975-01-28,5.71875,5.890625,5.703125,5.71875,1.316669,1266400,-0.10756626533875568,0.023204232717767087,-0.13077049805652277,46.651691679627305,"[1, 0, 0]"
1975-01-29,5.71875,5.8125,5.5625,5.796875,1.334655,1121600,-0.09057409200045541,0.03215712484485389,-0.1227312168453093,49.839530377237345,"[1, 0, 0]"
